Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Dhaka,July,4,81.66281581059748,29.106222132213816,83.07383049499339,32.18539690747458,160.90760318929773,5.8297555706401845,indian jujube
Rajshahi,July,4,72.957360738802,29.30300244666595,85.53696739715339,34.072630695289625,141.7801288149625,6.730893135096214,indian jujube
Dhaka,July,4,81.78596765432385,29.10044918331487,82.90655293861374,31.962732514063212,159.0760645240425,5.9158010951943645,indian jujube
Rajshahi,July,4,71.60947628945566,29.313315144869037,85.27943656494506,34.05946281147643,140.92675200917236,6.720472667826348,indian jujube
Rajshahi,July,4,72.81655210175508,29.29876208557487,85.30239373384062,33.97309481037232,139.45205990403258,6.677102907906346,indian jujube
Rajshahi,July,4,72.29333930874508,29.284274385401563,85.58877293492097,33.87231015270193,141.77732695073706,6.792637800990997,indian jujube
Dhaka,July,4,82.30808696437926,29.09701982816269,82.81404140481158,31.823188623048978,160.0989914456649,5.837313717763682,indian jujube
Rajshahi,July,4,72.21205553177738,29.295183429293566,85.51848234851002,33.70348841111679,140.3839573217889,6.630234504828647,indian jujube
Dhaka,July,4,82.40122883266538,29.118362611901002,82.96263183980427,32.23470066680504,160.34113102384876,5.922837204091863,indian jujube
Dhaka,July,4,82.33973387864361,29.089905408046803,82.95640752293497,31.912727610380134,159.17836127757468,5.87521463200355,indian jujube
Dhaka,July,4,81.61860672460581,29.1109885753292,82.77786391541468,31.872793745122845,159.4447196333748,5.96466914702801,indian jujube
Dhaka,July,4,81.58301346448394,29.085069186848596,82.90677736200713,32.21679915864298,160.0563550517353,5.902249905532573,indian jujube
Rajshahi,July,4,70.76748114752954,29.283226592494643,85.58760864872197,34.08228844387421,140.71509255654814,6.680643626093652,indian jujube
Rajshahi,July,4,72.09844319934578,29.301560637509812,85.20021338340187,33.99845843583866,139.55073519686005,6.725004466532824,indian jujube
Rajshahi,July,4,72.55953659690105,29.3028209335082,85.35418566325943,33.98444227788606,139.68958832557578,6.717820757292553,indian jujube
Rajshahi,July,4,72.58319403681004,29.322544025345927,85.56227344859005,33.71471148969157,140.29764719436272,6.855285552296101,indian jujube
Rajshahi,July,4,73.09432781774166,29.298684344200296,85.7610856604111,34.29038162530036,138.63504049845767,6.680852459845885,indian jujube
Rajshahi,July,4,71.0933490443029,29.29853646066495,84.97704902224562,33.88170328238516,140.22169401550596,6.792191797973985,indian jujube
Rajshahi,July,4,71.61539675145075,29.30321570851173,85.44156264263499,33.93029347488561,140.28629391250973,6.5788349715665015,indian jujube
Dhaka,July,4,82.33136889732808,29.095042796136724,82.77953636903159,32.09318471045136,159.3838999603559,5.919523543706988,indian jujube
Rajshahi,July,4,71.60747446241443,29.309923979361074,85.4818742312555,33.90639693489035,140.48344634188223,6.802734719517271,indian jujube
Rajshahi,July,4,72.61662073301768,29.292168493140686,85.56630441045046,33.93918162570897,137.96006878571265,6.692303774514494,indian jujube
Dhaka,July,4,81.77200175163478,29.102207126599488,82.23398181737554,32.00557885692371,160.12840287190178,6.0055129032677765,indian jujube
Rajshahi,July,4,73.17291221135186,29.306088007395022,85.41457679014475,33.9787956255181,138.15234145989277,6.688206205548219,indian jujube
Rajshahi,July,4,72.03753222063507,29.308137974191446,85.16348525182242,33.762650210351794,141.4473515434835,6.76169158929671,indian jujube
Rajshahi,July,4,71.93478897451872,29.31542814939014,85.61389073730777,34.22656137111983,140.4679967627672,6.759840576590766,indian jujube
Dhaka,July,4,82.19663217528003,29.111132600182067,82.56369688091412,31.82411517740366,158.8218560569144,5.880555974285277,indian jujube
Rajshahi,July,4,71.59234561247222,29.286011310729094,85.1992004262139,34.03037257490145,137.01936516080005,6.7455316321341146,indian jujube
Rajshahi,July,4,72.75643239178112,29.2931320701947,85.62220480631412,33.7226958439898,139.3840732080826,6.661600753410501,indian jujube
Rajshahi,July,4,72.01067036811983,29.332783562844405,85.15424752052178,34.042343500337466,137.6803989594061,6.684689240186989,indian jujube
Dhaka,July,4,82.7057552170946,29.101398319556033,82.87441500162802,32.02855826944059,159.4693244079754,5.898912531972754,indian jujube
Dhaka,July,4,82.6957696933741,29.090921905506764,82.75586472754071,31.911366228703614,157.7726255790597,5.877007815147616,indian jujube
Rajshahi,July,4,71.59160285547695,29.285224386135084,85.27242723691265,33.91453409601548,138.6071096869914,6.682643399193226,indian jujube
Dhaka,July,4,80.45628407390058,29.119295724886406,82.64604916822765,32.19023417578384,157.61763667933016,5.862103123383332,indian jujube
Dhaka,July,4,81.21662201176817,29.08684746964928,82.65379622793661,31.94959169115739,160.18671420085568,6.001694408446757,indian jujube
Dhaka,July,4,82.25587051911786,29.089214886225037,82.70517048873896,31.880306654540146,157.27223821939813,5.826334601774668,indian jujube
Dhaka,July,4,82.93658575562252,29.09510828462953,82.64430534089252,32.093155189792654,157.45637013195983,5.8813249124977185,indian jujube
Dhaka,July,4,82.80109212612899,29.096796814339946,82.32382303263684,32.11453593204404,156.64193365088877,5.8832811920317605,indian jujube
Rajshahi,July,4,71.10565012509022,29.284250364129566,85.34948502509035,34.12732284063898,142.750309320326,6.687399137771131,indian jujube
Dhaka,July,4,81.64896310016921,29.102598343529692,82.52025942570744,31.991268922824407,157.66151114507682,5.721938809154906,indian jujube
Dhaka,July,4,80.6051946766394,29.07659665827476,82.7023064490882,32.05118181197848,160.3516345697162,5.8980542203432345,indian jujube
Dhaka,July,4,81.92208685443326,29.098092333085486,83.23426756989733,32.10774338803116,159.57135501572287,5.908696702311533,indian jujube
Dhaka,July,4,81.97401174346219,29.097891708790126,82.90820238541725,32.10919557913826,160.9878588041653,5.942231508408975,indian jujube
Rajshahi,July,4,72.76187401879142,29.3186226925253,85.81732539914016,33.940379328697865,141.58487199451406,6.714250533025168,indian jujube
Rajshahi,July,4,71.23803380937989,29.29296140318623,85.46657454037887,33.82208566275119,139.84830010031308,6.746151320288863,indian jujube
Rajshahi,July,4,72.2445711307704,29.28094225087647,85.5212619500238,33.91811897321312,140.68716575814173,6.658189595144626,indian jujube
Dhaka,July,4,82.94378211768493,29.08618850185758,82.6772224072643,31.987148451604337,160.18197524274967,5.835453034360293,indian jujube
Dhaka,July,4,81.19360519556675,29.102835567130878,82.74969828601571,32.11930564609273,159.43026387012696,5.9195576370874186,indian jujube
Rajshahi,July,4,72.29985388683409,29.29099883740912,85.33478804058188,33.89909827980515,140.48148635617935,6.687861686849046,indian jujube
Rajshahi,July,4,72.80024700453163,29.2953135507263,85.44982944819581,33.95750125354446,139.83692155554203,6.716304385506259,indian jujube
Dhaka,July,4,82.66487309795104,29.09126065898581,82.37973319586757,32.067925031956996,159.58607087811492,5.914593573423683,indian jujube
Rajshahi,July,4,71.83444011077107,29.287615190933646,85.27905319113194,34.23462959599987,141.02046908515257,6.760196886080088,indian jujube
Rajshahi,July,4,72.41541854228173,29.30525759232242,85.55010124203332,33.83135323264063,141.74092373820088,6.672517288358028,indian jujube
Dhaka,July,4,83.27431967286228,29.096338057222308,82.47480742473185,31.948929494559927,157.9665237345304,5.912658885203859,indian jujube
Dhaka,July,4,82.56517803987391,29.09344162531634,82.60760073382265,32.32108462700358,156.1176851587948,5.864718196479331,indian jujube
Rajshahi,July,4,71.70700518999281,29.29354971789118,85.0706892665391,33.71541464435365,140.07430835722198,6.702494002122604,indian jujube
Dhaka,July,4,80.82639797176907,29.085441201693925,82.65553258396673,31.809937248144575,162.08783240563324,5.985567957199438,indian jujube
Dhaka,July,4,81.16219988100113,29.112373182604788,82.29846520108892,32.122873140309075,160.56879636916287,5.926492392050436,indian jujube
Rajshahi,July,4,72.61436668145595,29.314273686091344,85.16062280967375,33.893019944621145,138.67089576765449,6.679024238309342,indian jujube
Dhaka,July,4,81.92668022827925,29.113803684763443,82.80343923104279,32.06843486376021,158.81962713496947,5.911131629872789,indian jujube
Rajshahi,July,4,72.53118176014016,29.292771944851633,85.46463670837562,33.986581985091824,139.34176535727806,6.655554513999299,indian jujube
Dhaka,July,4,82.08052451911179,29.10077167283228,82.56290188703852,31.699196119345377,156.67962712353605,5.92718460870407,indian jujube
Dhaka,July,4,81.24134830419483,29.094338829410706,83.08523894510597,32.22651303761783,154.60276114457807,5.9529926241715,indian jujube
Rajshahi,July,4,71.73772208697949,29.295655671755096,85.56133575879227,33.77333241842922,140.82096821057178,6.722161461091234,indian jujube
Dhaka,July,4,81.8739788764817,29.111924838537917,82.79032073779184,32.45996656245719,160.98697232855594,5.902204422675559,indian jujube
Dhaka,July,4,83.47770638892675,29.102747609322254,82.6721281804898,32.016250784873,158.18412378041768,5.930972201408463,indian jujube
Rajshahi,July,4,70.06783308631549,29.277715706481782,85.5672326895056,34.14620448806071,139.7608892250167,6.619830218646277,indian jujube
Dhaka,July,4,81.97287229762323,29.07692287980396,82.72458266146725,31.963762394962544,159.0428459759049,5.883253743364111,indian jujube
Dhaka,July,4,80.45517826738016,29.105332472065147,82.98719111236107,32.126257017881976,157.76153207906404,5.909694706292082,indian jujube
Rajshahi,July,4,71.75344939741352,29.302134690443513,85.529350674559,34.26555116602616,140.87181493081619,6.653754927714842,indian jujube
Dhaka,July,4,81.79221920528306,29.092588780745917,82.84287004916584,32.166475591392576,160.1568812345142,5.952449883831772,indian jujube
Rajshahi,July,4,72.18879057298334,29.286532220467972,85.6138370051908,33.96198455264188,140.82374938593784,6.6485850999488845,indian jujube
Rajshahi,July,4,71.0614050221489,29.274337885594885,85.3226377466188,34.216810285318694,140.8522549439087,6.698939962869074,indian jujube
Rajshahi,July,4,72.76501130590607,29.29557282906255,85.31912887721083,34.141217154230134,140.42230045008552,6.59816908743027,indian jujube
Rajshahi,July,4,72.82555546559972,29.307531520820692,85.44572040606205,34.17813207602324,140.33290741803756,6.6377612373895865,indian jujube
Dhaka,July,4,81.4632121156734,29.09047363479391,82.27064155298766,31.94911637121671,158.98947233885596,5.860301326471292,indian jujube
Dhaka,July,4,82.84702792928995,29.10462119549623,82.57214048848574,32.05102332309997,158.14835312494733,5.809749909056678,indian jujube
Dhaka,July,4,81.0314568238606,29.111469564163492,82.63126597462715,32.18558416517353,159.63081156386846,5.808843007835696,indian jujube
Dhaka,July,4,80.59428050502638,29.088545095012687,82.97453779203599,32.15549047872583,156.32426952367973,5.848487282604197,indian jujube
Rajshahi,July,4,72.88608842808355,29.305874741687326,85.1854087500378,34.12644090033459,141.01043731268103,6.69078456251245,indian jujube
Rajshahi,July,4,72.31198593875419,29.30256668248236,85.5791981181071,34.25953469791398,139.10491745001005,6.759707122618166,indian jujube
Rajshahi,July,4,71.76209274234846,29.29343894697081,85.57111586825849,33.84394544725753,140.84571723404156,6.662967779659028,indian jujube
Dhaka,July,4,81.6614092098626,29.102305656128472,82.6678512139023,31.732387420398265,158.74739689237114,6.004669970088972,indian jujube
Rajshahi,July,4,72.86218855220442,29.322244791414764,85.14007870503718,33.85595304707604,138.3946725592795,6.7952707732289905,indian jujube
Rajshahi,July,4,73.55429928364778,29.28655235623705,85.33697885243019,34.16140426042088,140.24030532234826,6.705022810345958,indian jujube
Dhaka,July,4,81.78933197428096,29.092004593856537,82.66109192913761,31.759386220649994,158.14778912077585,5.952577843855337,indian jujube
Rajshahi,July,4,70.47417796677448,29.285375245043603,85.4497254962482,33.8740580214113,140.70292692839777,6.685503598333311,indian jujube
Rajshahi,December,1,21.714982333958744,20.402788192865113,70.98931613227566,50.74570940767038,141.18380570598052,3.7716150457575766,jackfruit
Rangamati,December,1,0.760548969633756,22.42621724150601,75.7711735482719,52.4693193107309,163.2601721593661,3.7104708761897953,jackfruit
Dhaka,December,1,1.8405838471168505,21.381972602731956,71.17052636958982,48.104700839470084,220.86987761522815,3.8863917040679,jackfruit
Rangpur,December,1,0.08802600139528208,20.331324766726652,74.08877560614349,49.82562807059706,128.30838708193542,5.921377564978229,jackfruit
Rangpur,December,1,-0.08814622036457738,20.413631511803636,73.81304728303633,49.53420047883258,126.13963980657138,6.045865196265281,jackfruit
Rangamati,December,1,-0.027645924425585115,22.30943545696334,75.53511551169491,53.05450374544776,171.04218855783324,3.987101264906834,jackfruit
Jashore,December,1,1.6924509358623894,20.83232240096028,71.06770748672781,47.627060887619514,184.44111659328058,2.283249684365736,jackfruit
Dhaka,December,1,1.9673182417819817,21.468496407346834,71.46417146372009,48.923059202965995,219.6288205642491,3.7230173420201154,jackfruit
Bogra,December,1,0.6525524294508424,21.28443848932496,70.55574896299912,54.342306931024815,220.341202693011,3.6892341369405712,jackfruit
Rangamati,December,1,-0.6936693057676577,22.369164286017714,75.85841408668317,53.12927940645983,170.7151420817628,3.6765392935038363,jackfruit
Rajshahi,December,1,19.86385762029183,20.493178978066034,70.55409994364652,51.04348587036883,144.45852872021416,3.567930708252931,jackfruit
Rajshahi,December,1,22.185337741990626,20.547630341072963,70.48868933040755,51.386332822232774,141.86203515431805,3.6303086893127645,jackfruit
Mymensingh,December,1,1.9798442125217433,21.38381566762166,73.66980899916383,49.10978622934628,192.99347565276932,2.882325486370909,jackfruit
Rangamati,December,1,0.9435791348706272,22.288650500048902,75.71470303700174,53.41820849430512,173.20718268288286,3.8872852044623114,jackfruit
Bogra,December,1,0.35605323005345,21.272872256327247,71.0128597193137,53.89974854787581,221.60143481048271,3.7665731275416428,jackfruit
Bogra,December,1,0.8384209916689668,21.269867059578257,70.69861328634724,53.85505696204877,223.9650317432343,3.7990998120944663,jackfruit
Dhaka,December,1,1.9438471624897709,21.612658581620266,71.32324745054659,48.33954436323031,223.67017326058854,3.4981843010957876,jackfruit
Dinajpur,December,1,0.49858143738596356,20.238221251918368,72.70054557488007,47.355141117620896,177.50289833021006,2.5324699471525753,jackfruit
Dinajpur,December,1,0.22803328251504845,20.122109423686624,72.56354225627675,47.7711839938841,187.0443161407571,2.42578199227512,jackfruit
Jashore,December,1,2.3086599797504617,20.931011260374934,71.15834540688984,47.487672869465406,185.19750961776643,2.2457428428249253,jackfruit
Dhaka,December,1,1.0785634877211867,21.682148903996673,71.42536344797965,48.782925082917046,219.3908092301133,3.793433321460887,jackfruit
Rangamati,December,1,-0.43813050532756753,22.19376621285978,76.01509878404696,53.34225574560763,167.1899620578456,3.649473910331123,jackfruit
Rangpur,December,1,1.0726493258607002,20.257543358242042,74.2016199213425,50.14380373171071,128.79863164497718,5.978379782551207,jackfruit
Mymensingh,December,1,0.8832272370238702,21.230220912191367,73.77063213176662,48.65857403656739,188.76528120159978,3.0879508652578727,jackfruit
Dhaka,December,1,1.7336460448250919,21.547083681262187,71.12057634693427,48.129009169519684,221.29454707356737,3.738690911202974,jackfruit
Rangamati,December,1,-0.5522313624691573,22.35638140912478,75.6633991353401,52.79608511590069,175.232642847952,3.686188900427216,jackfruit
Dhaka,December,1,1.341899625217892,21.617847533924657,71.33347186511614,48.91447570034415,220.35841031382512,3.9203905006199378,jackfruit
Mymensingh,December,1,2.364955626773419,21.307835195996663,73.76448268902224,48.83559403255531,191.5065465909621,2.9846846237925413,jackfruit
Rajshahi,December,1,20.182360783932474,20.535806465113872,70.83059526958606,51.32650075472497,144.5119920634906,3.4269336412596374,jackfruit
Dinajpur,December,1,0.39013934023885083,20.223893751185823,72.74604090874456,48.02047467761717,177.61440450709432,2.627140225597537,jackfruit
Dhaka,December,1,1.4564291709534283,21.482276150656876,71.01365355746037,48.5565202440405,213.37622289925343,3.615291376323433,jackfruit
Dhaka,December,1,2.56201667916007,21.474440125452503,71.01400543589494,48.80612260324557,214.86315490575117,3.5655627339540175,jackfruit
Rangamati,December,1,-0.06018441724985006,22.329590989811155,75.80037396450965,53.09788456935206,174.17450791120743,3.5301404383179174,jackfruit
Dinajpur,December,1,0.41816203291576437,20.31587069754905,72.47035681396926,48.08771267256124,182.7003054401118,2.6692661082810263,jackfruit
Dinajpur,December,1,0.43028761474833155,20.216298386339204,72.6217010800347,48.087657866776134,185.2037897062304,2.5321800429519277,jackfruit
Rangamati,December,1,0.6082748738731765,22.303607307702286,76.03156596795593,52.78952028906736,159.01156524619466,3.810095938418896,jackfruit
Rangpur,December,1,-0.3622513598992782,20.511008910308124,74.30050147983687,49.50398580073268,125.83758996190342,5.998412463472708,jackfruit
Jashore,December,1,1.9543939509719859,20.958435241017348,71.32284839228215,47.57404196129585,185.4726085048692,2.359853915039173,jackfruit
Mymensingh,December,1,0.6889300250501507,21.438720884190342,73.56434417790146,48.864329191638596,190.8431917245938,2.976810300453837,jackfruit
Mymensingh,December,1,0.7632007569915842,21.326273876155934,73.94743671218872,49.08672126612415,193.08372073692465,2.835809436565689,jackfruit
Jashore,December,1,0.8270656464410218,21.114503688198834,71.35920767584703,47.47488383022063,185.59826577092485,2.1496686566451677,jackfruit
Rangamati,December,1,0.0218230582091315,22.203137982466313,75.56988973808868,53.238768575452326,171.63157534044782,3.826885082437638,jackfruit
Rangpur,December,1,0.6361429393160869,20.394830284723096,73.92244396109427,49.243207686338756,131.5455619045398,5.773175109439771,jackfruit
Rangpur,December,1,-0.9491258254225311,20.433681365422107,74.13220796030585,49.7925171569845,126.69467258074603,5.9510812648124825,jackfruit
Bogra,December,1,-0.5330531033155127,21.36038055646641,70.64953288568003,53.64019984350455,220.43309234161234,3.497120104772165,jackfruit
Mymensingh,December,1,2.2680076604716533,21.3112632618624,73.55761194305477,48.73906749346753,193.6583596477559,3.009779975098424,jackfruit
Rangamati,December,1,-1.5927899107541739,22.1258206087621,75.9595533495129,52.869952300442165,164.87537635894265,3.8658773599540104,jackfruit
Dinajpur,December,1,-0.6919885872731054,20.220796271870046,72.57651648155819,47.80297293452858,178.7550133694448,2.7977478992404126,jackfruit
Dhaka,December,1,1.7792430749983652,21.649314659707922,71.4427335500792,48.22598246598231,222.14165889895952,3.6720553819960546,jackfruit
Dhaka,December,1,1.7798256494823628,21.3921944093415,71.26213925445796,48.54941444113054,222.6011437224502,3.5746389111607915,jackfruit
Dhaka,December,1,1.359206091184462,21.494944640297543,71.16870794836373,48.532645776621955,222.9719405614619,3.800562234246123,jackfruit
Dhaka,December,1,1.9727149292970974,21.509977660958597,71.19517955903949,47.951842506627706,216.60608825596884,3.5876448723935805,jackfruit
Jashore,December,1,1.1346143677933545,20.81872393257556,71.329337954305,47.36631082472825,183.53595544182443,2.250345234708447,jackfruit
Chittagonj,December,1,1.542571770572104,22.718151913433935,71.7977561908752,55.08941880392439,204.88197128774553,5.111461292525406,jackfruit
Rangpur,December,1,1.3208115647775334,20.500833763738157,74.29239246575652,49.36724433503652,131.61239770194896,5.895920688511169,jackfruit
Dinajpur,December,1,-0.06319044773971584,20.183951625465642,72.59117614659768,47.8220339216771,184.82205128389367,2.7233807826658216,jackfruit
Mymensingh,December,1,0.25785002469357643,21.387961704553526,73.77929424549744,48.97687039747098,193.37261665315103,3.008471547906293,jackfruit
Rangamati,December,1,0.3941708554926652,22.226870956932967,75.81269143163243,53.40553862421175,165.42472028968731,3.7329928352806547,jackfruit
Chittagonj,December,1,0.7193931228209101,22.888077848946224,71.99551724709414,55.11527413307841,201.31232197360274,4.897750014326487,jackfruit
Bogra,December,1,-0.3481672570168523,21.367090942794935,70.812791005661,54.020672795069544,221.46290799687665,3.7047230942932328,jackfruit
Dinajpur,December,1,-0.45299199009006413,20.097931208300327,72.62077639235977,48.11683736317199,191.63917927100368,2.744943800757645,jackfruit
Chittagonj,December,1,-0.6597161140896926,22.77232256652023,72.10922165643244,54.82998526058528,195.95465720499706,5.009895861453719,jackfruit
Mymensingh,December,1,0.7339056404574871,21.49077694180877,73.73274097041137,48.69690515769646,194.1407465469256,3.0236241442618774,jackfruit
Dinajpur,December,1,-0.038952793459912496,20.227236758148507,72.67331384813926,48.148180474493635,188.8288379158347,2.4940640030485013,jackfruit
Rajshahi,December,1,21.923305073324403,20.429184994158465,70.70746994742352,51.19253853602431,141.32129597903722,3.5733570451359213,jackfruit
Rangpur,December,1,-1.010085815398622,20.47467254891139,74.11175557474334,49.99407787061563,125.90582358839947,5.9358526238690175,jackfruit
Rajshahi,December,1,21.248238647778777,20.565382170064634,70.94824892116583,50.85123201551569,141.45086754639186,3.5556045339766853,jackfruit
Mymensingh,December,1,-0.4277348596332846,21.281249169047925,73.91976950056241,49.02733513212724,189.51850994583145,3.040257572986713,jackfruit
Mymensingh,December,1,0.23396235316331515,21.12227668145632,73.8836419083488,49.30233728681521,188.6504161695446,3.0069479108154655,jackfruit
Rangpur,December,1,-0.2060066423695613,20.339465689529693,74.19205641292973,49.16710652709,129.2214842795511,6.204858140224652,jackfruit
Chittagonj,December,1,-0.21348779769015147,22.712161700639847,71.47234626624723,54.62680560916216,204.07962605278055,5.081131117220731,jackfruit
Chittagonj,December,1,1.7284524607157987,22.813124874941845,71.73719110221431,54.78855445254986,202.5637722078189,5.151865057040477,jackfruit
Rangamati,December,1,1.0037159490585787,22.26592771395249,75.83767757707221,52.751934811879174,169.92317327129948,3.7824076314053294,jackfruit
Rajshahi,December,1,19.910188146442792,20.597047795559714,70.5643544481193,51.328956885061075,140.25769489687266,3.7601944262229403,jackfruit
Dhaka,December,1,-0.36241057251415554,21.590327895519653,70.89099243920417,48.44747143865944,222.0287185548793,3.7097054308273267,jackfruit
Jashore,December,1,2.1585409486307556,20.806146950813368,70.9489644800285,47.409404653522344,184.3744248655937,2.2843556807703296,jackfruit
Mymensingh,December,1,1.5040028027505403,21.470003013298307,73.69668071406011,49.21575888506288,193.9435015825471,2.989067614431493,jackfruit
Jashore,December,1,1.347296083428506,20.979894458766164,71.35428245745707,47.27206100763907,182.45819909927735,2.386128419133318,jackfruit
Dhaka,December,1,1.635131801332617,21.540592969563907,71.2395259615882,48.032928878531244,220.59789277474647,3.659540973523532,jackfruit
Dhaka,December,1,2.7417770565243953,21.217485127712155,71.16247983317633,48.5839198658496,216.01251350092016,3.729155777904631,jackfruit
Rajshahi,December,1,20.528093836485798,20.559205188208104,71.02106314071091,51.040176279237784,141.42446484384982,3.8127340171090847,jackfruit
Cumilla,March,1,4.713256739715319,23.941534239591245,70.5133306043461,52.51419609190847,213.50876708586165,4.563884197274948,jute
Khulna,April,1,11.869041565046869,29.393477550651372,71.91598619196716,58.69600312870119,199.35868119566246,6.950352696398472,jute
Faridpur,March,1,4.842672382567628,23.97640213539805,65.9252035196203,54.56497442860425,222.13939172048794,4.454700240944528,jute
Dhaka,March,1,3.5235405301929545,23.60624732448855,63.20468857511997,56.24297180388292,233.17996280469657,4.998439942041052,jute
Bogra,March,1,5.1303541423668495,22.90800016684837,63.75932550019634,60.232756867262346,234.32584717379686,5.6462606383169325,jute
Rajshahi,March,2,2.6848811892467053,25.4890105816277,59.030753773387,59.47756563543666,213.57604744541968,5.270387571311145,jute
Rajshahi,March,2,2.6282837473695304,25.19372407191096,59.23196216541272,59.20979511243607,215.69988871229643,5.38763008486195,jute
Cumilla,March,1,4.047148373174575,23.94819249027695,70.3947964736441,52.48303847946819,214.4709215910297,4.575462841867311,jute
Dinajpur,March,1,4.492104458674714,23.860769546161393,61.225667168289654,58.98877270903072,212.6031619789662,5.290347690436055,jute
Bogra,March,1,4.93719182297922,22.836740648793775,62.97724109025072,60.375391922507646,236.1322789937898,5.663982228473829,jute
Rangpur,March,1,2.187243321682816,21.930062900278994,67.65413039938458,57.01464024300008,200.82666785756447,7.6593799884907785,jute
Dhaka,March,1,3.9866658108581454,23.572296610938047,62.88007491568556,55.59332561716459,234.5814740205284,5.026960272832456,jute
Cumilla,March,1,4.399433485383896,23.904937232822828,70.46752576717854,52.72832801486064,216.7793852495366,4.647651157110162,jute
Mymensingh,March,1,0.6246521497936502,22.72075207829752,67.83496698377242,50.88152153979371,213.82001866667798,5.026702539386567,jute
Faridpur,March,1,4.715462735266925,23.728160995404846,67.03686716958363,54.21762077588776,220.3221832390601,4.522100633258001,jute
Dinajpur,March,1,4.324911665708358,24.33923333270369,60.961116356210184,59.01355133610218,212.14522836058248,5.30117565305724,jute
Khulna,April,1,12.980072088608518,29.252816643464786,71.21244133003758,58.67178349261243,200.87083580405618,6.972804879974152,jute
Cumilla,March,1,4.720790382968095,24.10412013132598,70.19765817247426,52.28176239689094,214.47272135206907,4.613808582934502,jute
Cumilla,March,1,4.712460514755149,23.671468117992532,70.35599563133364,52.52420120884844,215.36456842408563,4.516126883483468,jute
Cumilla,March,1,4.100221102419651,23.65561573557806,71.43377829509714,52.47994869569128,216.4535585032927,4.682963071928709,jute
Barisal,March,1,5.522027690975524,24.572194848352282,70.72462656833055,53.56788282606672,213.95148680777672,5.181371534912407,jute
Rajshahi,March,2,3.5469938692742655,25.475826239063096,59.52468422942676,58.67456980250158,214.0315602372797,5.448765600397465,jute
Faridpur,March,1,5.331835731262087,24.646995884712116,66.35114078501785,54.33436820514946,221.27276384710464,4.50417779591293,jute
Barisal,March,1,5.5267774806438625,24.60481873606896,70.70255539827671,53.69610551512129,216.85938225199178,5.032444650219042,jute
Dinajpur,March,1,3.9320452966815083,23.489276594846817,60.919971829983545,58.479168883350034,212.47458054231458,5.330606815308755,jute
Rangpur,March,1,2.3730748177139196,22.164775386776167,67.28774151275324,56.9417269582538,200.73006200018108,7.626034331780007,jute
Faridpur,March,1,4.683198806215967,24.171764065097715,65.92087869735803,54.83825247396236,221.87721011027838,4.418343736862392,jute
Dinajpur,March,1,3.298349535240966,24.023120600781684,60.02000126921094,58.736748549798236,210.1048804821376,5.2936860523673035,jute
Dinajpur,March,1,3.534988618619531,24.284631528124258,61.32429079162141,58.77526461127188,212.12027048221913,5.3538761267207695,jute
Mymensingh,March,1,0.6015982981521852,22.758427190839154,67.9735072664214,51.018113790148384,214.84087367324662,5.021293939969015,jute
Dinajpur,March,1,4.168957433095657,23.88098292382823,60.958380243900294,59.2349469135387,211.60002859353568,5.402507829125214,jute
Khulna,April,1,12.314423494376419,29.540740534195006,70.91137012497914,58.35290993493767,201.73215129714916,7.143471349713853,jute
Faridpur,March,1,5.329011901001295,24.025049450483426,66.41623413586886,54.481293765389076,224.02676735146753,4.571419081922997,jute
Rajshahi,March,2,2.939093651444598,24.951323136121893,59.512369580603895,58.815363198498076,216.15243273988904,5.385313748899316,jute
Khulna,April,1,12.303956500575593,29.434676929430005,72.36098780981783,58.297044179911644,202.41419927446856,7.137750788594575,jute
Jashore,April,1,11.494951420719987,29.288036484077736,67.12389073244618,55.40698608877124,209.20008394976063,5.171453483850836,jute
Jashore,April,1,11.72239013957893,29.060699308764143,67.13058451282687,55.102071679002115,209.43044672793283,5.1160522657244,jute
Dhaka,March,1,2.9068574076724314,24.199472299851763,63.189854651260305,56.07861190256563,234.30228519247385,4.993638129831185,jute
Dhaka,March,1,3.2141480369038993,23.542518804804846,63.49911346789626,55.954258716277195,234.08285909155228,5.076448779223662,jute
Barisal,March,1,5.447023489844146,24.99602634939898,70.68627462577277,54.05364617557358,215.26218775061528,5.012778749397607,jute
Mymensingh,March,1,1.316809113765673,22.620962785651365,68.12128365707865,50.66598195215754,214.98743838234535,5.03048917012772,jute
Barisal,March,1,5.548157521273739,23.85913726387221,71.56054693958713,53.62987739345041,212.75956635030127,5.338452634804394,jute
Bogra,March,1,5.072836557625806,22.97791034082147,63.377956182874534,60.24454536081533,233.58473752710475,5.755863841319365,jute
Rajshahi,March,2,2.898611335547262,25.755827644655536,59.21449820504904,59.63744263330056,213.14883308815598,5.421184849825614,jute
Mymensingh,March,1,1.0886373252693962,22.957990386511216,67.17699999582209,51.25693899878636,215.4383852325073,5.108871376409875,jute
Dinajpur,March,1,3.5207639233990706,24.350596464147305,61.38860705454744,58.951488055265486,212.94037715332658,5.38470574811986,jute
Dhaka,March,1,2.9063862267456155,23.228002083298602,63.32913831003081,55.71036253926934,234.05266551476961,5.013472811887003,jute
Rajshahi,March,2,3.5042889246423776,24.90963969743289,59.80669363482219,58.6579119854437,212.83447313240922,5.507166670925719,jute
